Offense,	Team,	POS,	Fan Pts,	PassYds,	PassTD,	PassInt,	Sack,	Pick Six,	RushAtt,	RushYds,	RushTD,	RecYds,	RecTD,	RecTgt,	RetTD,	2PT,	FumTot,	FumLost,,,,
Jaylen Waddle,Mia,WR,198.60,36,36,0,0,0,0,0,3,12,0,72,1014,4,104,0,0,0,0,
Kenneth Walker III,Sea,RB,198.40,55,55,0,0,0,0,0,219,905,8,29,259,1,37,0,0,1,0,
D'Andre Swift,Chi,RB,196.30,80,80,0,0,0,0,0,229,1049,5,39,214,1,49,0,0,3,1,
Brian Robinson Jr,Was,RB,194.10,86,86,0,0,0,0,0,178,733,5,36,368,4,43,0,1,4,2,
Najee Harris,Pit,RB,193.50,69,69,0,0,0,0,0,255,1035,8,29,170,0,38,0,0,2,1,
Gardner Minshew II,LV,QB,193.20,335,335,3305,15,9,34,0,34,100,3,0,0,0,0,0,2,8,5,
Joshua Dobbs,SF,QB,192.66,364,364,2464,13,10,30,0,77,421,6,0,0,0,0,0,3,14,7,
Jaylen Warren,Pit,RB,192.40,83,83,0,0,0,0,0,149,784,4,61,370,0,74,0,0,4,2,
De'Von Achane,Mia,RB,188.70,22,22,0,0,0,1,0,103,800,8,27,197,3,37,0,0,1,1,
Courtland Sutton,Den,WR,187.20,99,99,0,0,0,0,0,0,0,0,59,772,10,90,0,0,3,3,
Gus Edwards,LAC,RB,184.00,112,112,0,0,0,0,0,198,810,13,12,180,0,13,0,1,3,2,
Chuba Hubbard,Car,RB,181.50,140,140,0,0,0,0,0,238,902,5,39,233,0,44,0,0,1,0,
Trey McBride,Ari,TE,180.50,48,48,0,0,0,0,0,0,0,0,81,825,3,106,0,0,1,0,
Austin Ekeler,Was,RB,180.40,96,96,0,0,0,0,0,179,628,5,51,436,1,74,0,0,5,4,
Cole Kmet,Chi,TE,180.10,138,138,0,0,0,0,0,3,2,0,73,719,6,90,0,0,1,0,
Javonte Williams,Den,RB,178.20,92,92,0,0,0,0,0,217,774,3,47,228,2,58,0,2,1,1,
Josh Jacobs,GB,RB,177.10,34,34,0,0,0,1,0,233,805,6,37,296,0,54,0,0,3,1,
Jake Ferguson,Dal,TE,177.10,95,95,0,0,0,0,0,0,0,0,71,761,5,102,0,0,0,0,
Drake London,Atl,WR,174.38,23,23,0,0,0,0,0,0,0,0,69,905,2,110,0,1,0,0,
Romeo Doubs,GB,WR,173.40,117,117,0,0,0,0,0,0,0,0,59,674,8,96,0,0,1,0,
Ezekiel Elliott,Dal,RB,172.50,111,111,0,0,0,0,0,184,642,3,51,313,2,65,0,0,2,1,
Brandin Cooks,Dal,WR,172.20,139,139,0,0,0,0,0,5,35,0,54,657,8,81,0,1,1,0,
Desmond Ridder,Ari,QB,170.14,1948,1948,2836,12,12,31,0,53,193,5,1,-6,0,1,0,2,12,7,
Zack Moss,Cin,RB,169.60,94,94,0,0,0,0,0,183,794,5,27,192,2,37,0,1,0,0,
Devin Singletary,NYG,RB,168.34,87,87,0,0,0,0,0,216,898,4,30,193,0,38,0,0,1,0,
Kirk Cousins,Atl,QB,166.74,125,125,2331,18,0,14,25,0,0,0,0,0,0,0,0,0,7,4,
Cooper Kupp,LAR,WR,164.40,27,27,0,0,0,0,0,1,-3,0,59,737,5,95,0,1,0,0,
Tank Dell,Hou,WR,163.00,53,53,0,0,0,1,0,11,51,0,47,709,7,75,0,0,1,0,
Gabe Davis,Jax,WR,160.40,149,149,0,0,0,0,0,1,-2,0,45,746,7,81,0,1,1,1,
Curtis Samuel,Buf,WR,157.20,109,109,0,0,0,0,0,7,39,1,62,613,4,91,0,0,0,0,
Joe Burrow,Cin,QB,157.16,67,67,2309,15,6,24,0,31,88,0,0,0,0,0,0,2,1,,
Josh Downs,Ind,WR,157.10,134,134,0,0,0,0,0,0,0,0,68,771,2,98,0,0,0,0,
Jonathan Taylor,Ind,RB,155.40,10,10,0,0,0,0,0,169,741,7,19,153,1,23,0,0,1,0,
Rashid Shaheed,NO,WR,154.60,104,104,0,0,0,0,0,7,37,0,46,719,5,75,0,0,1,1,
Tyjae Spears,Ten,RB,152.80,84,84,0,0,0,0,0,100,453,2,52,385,1,70,0,0,1,0,
Diontae Johnson,Car,WR,151.70,71,71,0,0,0,0,0,0,0,0,51,717,5,87,0,0,1,0,
Darius Slayton,NYG,WR,151.00,254,254,0,0,0,0,0,0,0,0,50,770,4,79,0,0,0,0,
Jaxon Smith-Njigba,Sea,WR,149.80,90,90,0,0,0,0,0,0,0,0,63,628,4,93,0,0,0,0,
Dalton Schultz,Hou,TE,149.50,124,124,0,0,0,0,0,0,0,0,59,635,5,88,0,0,1,1,
Dalton Kincaid,Buf,TE,149.30,68,68,0,0,0,0,0,0,0,0,73,673,2,91,0,0,1,1,
Jake Browning,Cin,QB,148.44,361,361,1936,12,7,24,0,27,127,3,1,-7,0,1,0,1,3,0,
Christian Kirk,Jax,WR,148.26,63,63,0,0,0,0,0,1,6,0,57,787,3,85,0,0,2,2,
Kyler Murray,Ari,QB,146.36,52,52,1799,10,5,18,0,44,244,3,0,0,0,0,0,1,7,0,
Tyler Boyd,Ten,WR,145.80,264,264,0,0,1,0,0,2,11,0,67,667,2,98,0,0,0,0,
Rhamondre Stevenson,NE,RB,144.70,61,61,0,0,0,0,0,156,619,4,38,238,0,51,0,0,1,1,
Taysom Hill,NO,QB,142.52,186,186,83,1,0,2,0,81,401,4,33,291,2,40,0,0,1,1,
Jerry Jeudy,Cle,WR,140.80,161,161,0,0,0,0,0,0,0,0,54,758,2,87,0,0,1,0,
